FIRST_CODE;LAST_CODE;CHAPTER_CODE;TITLE
A00;A09;01;Intestinal infectious diseases
A15;A19;01;Tuberculosis
A20;A28;01;Certain zoonotic bacterial diseases
A30;A49;01;Other bacterial diseases
A50;A64;01;Infections with a predominantly sexual mode of transmission
A65;A69;01;Other spirochaetal diseases
A70;A74;01;Other diseases caused by chlamydiae
A75;A79;01;Rickettsioses
A80;A89;01;Viral infections of the central nervous system
A90;A99;01;Arthropod-borne viral fevers and viral haemorrhagic fevers
B00;B09;01;Viral infections characterized by skin and mucous membrane lesions
B15;B19;01;Viral hepatitis
B20;B24;01;Human immunodeficiency virus [HIV] disease
B25;B34;01;Other viral diseases
B35;B49;01;Mycoses
B50;B64;01;Protozoal diseases
B65;B83;01;Helminthiases
B85;B89;01;Pediculosis, acariasis and other infestations
B90;B94;01;Sequelae of infectious and parasitic diseases
B95;B98;01;Bacterial, viral and other infectious agents
B99;B99;01;Other infectious diseases
C00;C14;02;Malignant neoplasms of lip, oral cavity and pharynx
C15;C26;02;Malignant neoplasms of digestive organs
C30;C39;02;Malignant neoplasms of respiratory and intrathoracic organs
C40;C41;02;Malignant neoplasms of bone and articular cartilage
C43;C44;02;Melanoma and other malignant neoplasms of skin
C45;C49;02;Malignant neoplasms of mesothelial and soft tissue
C50;C50;02;Malignant neoplasm of breast
C51;C58;02;Malignant neoplasms of female genital organs
C60;C63;02;Malignant neoplasms of male genital organs
C64;C68;02;Malignant neoplasms of urinary tract
C69;C72;02;Malignant neoplasms of eye, brain and other parts of central nervous system
C73;C75;02;Malignant neoplasms of thyroid and other endocrine glands
C76;C80;02;Malignant neoplasms of ill-defined, secondary and unspecified sites
C81;C96;02;Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue
C97;C97;02;Malignant neoplasms of independent (primary) multiple sites
D00;D09;02;In situ neoplasms
D10;D36;02;Benign neoplasms
D37;D48;02;Neoplasms of uncertain or unknown behaviour
D50;D53;03;Nutritional anaemias
D55;D59;03;Haemolytic anaemias
D60;D64;03;Aplastic and other anaemias
D65;D69;03;Coagulation defects, purpura and other haemorrhagic conditions
D70;D77;03;Other diseases of blood and blood-forming organs
D80;D89;03;Certain disorders involving the immune mechanism
E00;E07;04;Disorders of thyroid gland
E10;E14;04;Diabetes mellitus
E15;E16;04;Other disorders of glucose regulation and pancreatic internal secretion
E20;E35;04;Disorders of other endocrine glands
E40;E46;04;Malnutrition
E50;E64;04;Other nutritional deficiencies
E65;E68;04;Obesity and other hyperalimentation
E70;E90;04;Metabolic disorders
F00;F09;05;Organic, including symptomatic, mental disorders
F10;F19;05;Mental and behavioural disorders due to psychoactive substance use
F20;F29;05;Schizophrenia, schizotypal and delusional disorders
F30;F39;05;Mood [affective] disorders
F40;F48;05;Neurotic, stress-related and somatoform disorders
F50;F59;05;Behavioural syndromes associated with physiological disturbances and physical factors
F60;F69;05;Disorders of adult personality and behaviour
F70;F79;05;Mental retardation
F80;F89;05;Disorders of psychological development
F90;F98;05;Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F99;F99;05;Unspecified mental disorder
G00;G09;06;Inflammatory diseases of the central nervous system
G10;G14;06;Systemic atrophies primarily affecting the central nervous system
G20;G26;06;Extrapyramidal and movement disorders
G30;G32;06;Other degenerative diseases of the nervous system
G35;G37;06;Demyelinating diseases of the central nervous system
G40;G47;06;Episodic and paroxysmal disorders
G50;G59;06;Nerve, nerve root and plexus disorders
G60;G64;06;Polyneuropathies and other disorders of the peripheral nervous system
G70;G73;06;Diseases of myoneural junction and muscle
G80;G83;06;Cerebral palsy and other paralytic syndromes
G90;G99;06;Other disorders of the nervous system
H00;H06;07;Disorders of eyelid, lacrimal system and orbit
H10;H13;07;Disorders of conjunctiva
H15;H22;07;Disorders of sclera, cornea, iris and ciliary body
H25;H28;07;Disorders of lens
H30;H36;07;Disorders of choroid and retina
H40;H42;07;Glaucoma
H43;H45;07;Disorders of vitreous body and globe
H46;H48;07;Disorders of optic nerve and visual pathways
H49;H52;07;Disorders of ocular muscles, binocular movement, accommodation and refraction
H53;H54;07;Visual disturbances and blindness
H55;H59;07;Other disorders of eye and adnexa
H60;H62;08;Diseases of external ear
H65;H75;08;Diseases of middle ear and mastoid
H80;H83;08;Diseases of inner ear
H90;H95;08;Other disorders of ear
I00;I02;09;Acute rheumatic fever
I05;I09;09;Chronic rheumatic heart diseases
I10;I15;09;Hypertensive diseases
I20;I25;09;Ischaemic heart diseases
I26;I28;09;Pulmonary heart disease and diseases of pulmonary circulation
I30;I52;09;Other forms of heart disease
I60;I69;09;Cerebrovascular diseases
I70;I79;09;Diseases of arteries, arterioles and capillaries
I80;I89;09;Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified
I95;I99;09;Other and unspecified disorders of the circulatory system
J00;J06;10;Acute upper respiratory infections
J09;J18;10;Influenza and pneumonia
J20;J22;10;Other acute lower respiratory infections
J30;J39;10;Other diseases of upper respiratory tract
J40;J47;10;Chronic lower respiratory diseases
J60;J70;10;Lung diseases due to external agents
J80;J84;10;Other respiratory diseases principally affecting the interstitium
J85;J86;10;Suppurative and necrotic conditions of lower respiratory tract
J90;J94;10;Other diseases of pleura
J95;J99;10;Other diseases of the respiratory system
K00;K14;11;Diseases of oral cavity, salivary glands and jaws
K20;K31;11;Diseases of oesophagus, stomach and duodenum
K35;K38;11;Diseases of appendix
K40;K46;11;Hernia
K50;K52;11;Noninfective enteritis and colitis
K55;K63;11;Other diseases of intestines
K65;K67;11;Diseases of peritoneum
K70;K77;11;Diseases of liver
K80;K87;11;Disorders of gallbladder, biliary tract and pancreas
K90;K93;11;Other diseases of the digestive system
L00;L08;12;Infections of the skin and subcutaneous tissue
L10;L14;12;Bullous disorders
L20;L30;12;Dermatitis and eczema
L40;L45;12;Papulosquamous disorders
L50;L54;12;Urticaria and erythema
L55;L59;12;Radiation-related disorders of the skin and subcutaneous tissue
L60;L75;12;Disorders of skin appendages
L80;L99;12;Other disorders of the skin and subcutaneous tissue
M00;M03;13;Infectious arthropathies
M05;M14;13;Inflammatory polyarthropathies
M15;M19;13;Arthrosis
M20;M25;13;Other joint disorders
M30;M36;13;Systemic connective tissue disorders
M40;M43;13;Deforming dorsopathies
M45;M49;13;Spondylopathies
M50;M54;13;Other dorsopathies
M60;M63;13;Disorders of muscles
