LEVEL;PLACE;TYPE;CHAPTER_CODE;BLOCK_CODE;CODE_W;CODE;CODE_WITHOUT_DOT;TITLE;M1;M2;M3;M4;M
3;N;X;01;A00;A00.-;A00;A00;Cholera;001;4-002;3-003;2-001;1-002
4;T;X;01;A00;A00.0;A00.0;A000;Cholera due to Vibrio cholerae 01, biovar cholerae;001;4-002;3-003;2-001;1-002
4;T;X;01;A00;A00.1;A00.1;A001;Cholera due to Vibrio cholerae 01, biovar eltor;001;4-002;3-003;2-001;1-002
4;T;X;01;A00;A00.9;A00.9;A009;Cholera, unspecified;001;4-002;3-003;2-001;1-002
3;N;X;01;A00;A01.-;A01;A01;Typhoid and paratyphoid fevers;002;4-002;3-003;2-003;1-004
4;T;X;01;A00;A01.0;A01.0;A010;Typhoid fever;002;4-002;3-003;2-003;1-004
4;T;X;01;A00;A01.1;A01.1;A011;Paratyphoid fever A;002;4-002;3-003;2-003;1-004
4;T;X;01;A00;A01.2;A01.2;A012;Paratyphoid fever B;002;4-002;3-003;2-003;1-004
4;T;X;01;A00;A01.3;A01.3;A013;Paratyphoid fever C;002;4-002;3-003;2-003;1-004
4;T;X;01;A00;A01.4;A01.4;A014;Paratyphoid fever, unspecified;002;4-002;3-003;2-003;1-004
3;N;X;01;A00;A02.-;A02;A02;Other salmonella infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A02.0;A02.0;A020;Salmonella enteritis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A02.1;A02.1;A021;Salmonella sepsis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A02.2;A02.2;A022;Localized salmonella infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A02.8;A02.8;A028;Other specified salmonella infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A02.9;A02.9;A029;Salmonella infection, unspecified;006;4-002;3-003;2-003;1-004
3;N;X;01;A00;A03.-;A03;A03;Shigellosis;003;4-002;3-003;2-003;1-004
4;T;X;01;A00;A03.0;A03.0;A030;Shigellosis due to Shigella dysenteriae;003;4-002;3-003;2-003;1-004
4;T;X;01;A00;A03.1;A03.1;A031;Shigellosis due to Shigella flexneri;003;4-002;3-003;2-003;1-004
4;T;X;01;A00;A03.2;A03.2;A032;Shigellosis due to Shigella boydii;003;4-002;3-003;2-003;1-004
4;T;X;01;A00;A03.3;A03.3;A033;Shigellosis due to Shigella sonnei;003;4-002;3-003;2-003;1-004
4;T;X;01;A00;A03.8;A03.8;A038;Other shigellosis;003;4-002;3-003;2-003;1-004
4;T;X;01;A00;A03.9;A03.9;A039;Shigellosis, unspecified;003;4-002;3-003;2-003;1-004
3;N;X;01;A00;A04.-;A04;A04;Other bacterial intestinal infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.0;A04.0;A040;Enteropathogenic Escherichia coli infection;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.1;A04.1;A041;Enterotoxigenic Escherichia coli infection;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.2;A04.2;A042;Enteroinvasive Escherichia coli infection;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.3;A04.3;A043;Enterohaemorrhagic Escherichia coli infection;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.4;A04.4;A044;Other intestinal Escherichia coli infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.5;A04.5;A045;Campylobacter enteritis;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.6;A04.6;A046;Enteritis due to Yersinia enterocolitica;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.7;A04.7;A047;Enterocolitis due to Clostridium difficile;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.8;A04.8;A048;Other specified bacterial intestinal infections;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A04.9;A04.9;A049;Bacterial intestinal infection, unspecified;006;4-002;3-003;2-003;1-004
3;N;X;01;A00;A05.-;A05;A05;Other bacterial foodborne intoxications, not elsewhere classified;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A05.0;A05.0;A050;Foodborne staphylococcal intoxication;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A05.1;A05.1;A051;Botulism;006;4-002;3-003;2-003;1-004
4;T;X;01;A00;A05.2;A05.2;A052;Foodborne Clostridium perfringens [Clostridium welchii] intoxication;006;4-002;3-003;2-003;1-004
