LEVEL;PLACE;TYPE;CHAPTERéCODE;BLOCKéCODE;CODEéW;CODE;CODEéWITHOUTéDOT;TITLE;M1;M2;M3;M4;M
3;N;X;1;A00;A00.-;A00;A00;Cólera;1;4-002;3-003;2-001;1-002
4;T;X;1;A00;A00.0;A00.0;A000;Debido a Vibrio cholerae 01, biotipo cholerae Cólera;1;4-002;3-003;2-001;1-002
4;T;X;1;A00;A00.1;A00.1;A001;Debido a Vibrio cholerae 01, biotipo eltor cólera;1;4-002;3-003;2-001;1-002
4;T;X;1;A00;A00.9;A00.9;A009;El cólera, sin especificar;1;4-002;3-003;2-001;1-002
3;N;X;1;A00;A01.-;A01;A01;Fiebre tifoidea y paratifoidea;2;4-002;3-003;2-003;1-004
4;T;X;1;A00;A01.0;A01.0;A010;La fiebre tifoidea;2;4-002;3-003;2-003;1-004
4;T;X;1;A00;A01.1;A01.1;A011;La fiebre paratifoidea A;2;4-002;3-003;2-003;1-004
4;T;X;1;A00;A01.2;A01.2;A012;B fiebre paratifoidea;2;4-002;3-003;2-003;1-004
4;T;X;1;A00;A01.3;A01.3;A013;Paratifoidea fiebre C;2;4-002;3-003;2-003;1-004
4;T;X;1;A00;A01.4;A01.4;A014;La fiebre paratifoidea, no especificada;2;4-002;3-003;2-003;1-004
3;N;X;1;A00;A02.-;A02;A02;Otras infecciones de salmonela;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A02.0;A02.0;A020;Salmonella enteritis;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A02.1;A02.1;A021;Salmonella sepsis;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A02.2;A02.2;A022;Las infecciones localizadas salmonella;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A02.8;A02.8;A028;Otras especifican las infecciones de salmonela;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A02.9;A02.9;A029;Infección por salmonela, no especificada;6;4-002;3-003;2-003;1-004
3;N;X;1;A00;A03.-;A03;A03;Shigelosis;3;4-002;3-003;2-003;1-004
4;T;X;1;A00;A03.0;A03.0;A030;Shigelosis por Shigella dysenteriae;3;4-002;3-003;2-003;1-004
4;T;X;1;A00;A03.1;A03.1;A031;Shigelosis por Shigella flexneri;3;4-002;3-003;2-003;1-004
4;T;X;1;A00;A03.2;A03.2;A032;Shigelosis por Shigella boydii;3;4-002;3-003;2-003;1-004
4;T;X;1;A00;A03.3;A03.3;A033;Shigelosis por Shigella sonnei;3;4-002;3-003;2-003;1-004
4;T;X;1;A00;A03.8;A03.8;A038;Shigelosis otros;3;4-002;3-003;2-003;1-004
4;T;X;1;A00;A03.9;A03.9;A039;Shigelosis, no especificada;3;4-002;3-003;2-003;1-004
3;N;X;1;A00;A04.-;A04;A04;Otras infecciones intestinales bacterianas;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.0;A04.0;A040;Escherichia coli enteropatógena infección;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.1;A04.1;A041;Escherichia coli enterotoxigénica infección;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.2;A04.2;A042;Escherichia coli enteroinvasiva infección;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.3;A04.3;A043;Escherichia coli infección;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.4;A04.4;A044;Otros intestinal Escherichia coli infecciones;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.5;A04.5;A045;La enteritis por Campylobacter;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.6;A04.6;A046;Enteritis por Yersinia enterocolitica;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.7;A04.7;A047;Enterocolitis por Clostridium difficile;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.8;A04.8;A048;Otras infecciones intestinales bacterianas especificadas;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A04.9;A04.9;A049;Infección intestinal bacteriana, no especificada;6;4-002;3-003;2-003;1-004
3;N;X;1;A00;A05.-;A05;A05;Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.0;A05.0;A050;Intoxicación estafilocócica transmitidas por los alimentos;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.1;A05.1;A051;Botulismo;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.2;A05.2;A052;Transmitidas por los alimentos Clostridium perfringens [Clostridium welchii] intoxicación;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.3;A05.3;A053;Transmitidas por los alimentos Vibrio parahaemolyticus intoxicación;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.4;A05.4;A054;Bacillus cereus intoxicaciones de origen alimentario;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.8;A05.8;A058;Otras intoxicaciones alimentarias bacterianas especificadas;6;4-002;3-003;2-003;1-004
4;T;X;1;A00;A05.9;A05.9;A059;Intoxicación bacteriana transmitida por los alimentos, no especificado;6;4-002;3-003;2-003;1-004
3;N;X;1;A00;A06.-;A06;A06;Amebiasis;4;4-002;3-003;2-003;1-004
4;T;X;1;A00;A06.0;A06.0;A060;Disentería amebiana aguda;4;4-002;3-003;2-003;1-004
